tool	project	commit	time	files
RefDiff	realm-java	6cf596df183b3c3a38ed5dd9bb3b0100c6548ebb	4204	7
RefDiff	rstudio	cb49e436b9d7ee55f2531ebc2ef1863f5c9ba9fe	94	2
RefDiff	intellij-community	7ed3f273ab0caf0337c22f0b721d51829bb0c877	235	2
RefDiff	intellij-community	7a4dab88185553bd09e827839fdf52e870ef7088	860	8
RefDiff	intellij-community	7655200f58293e5a30bf8b3cbb29ebadae374564	1281	18
RefDiff	sonarqube	4a2247c24efee48de53ca07302b6810ab7205621	813	36
RefDiff	sonarqube	abbf32571232db81a5343db17a933a9ce6923b44	1985	70
RefDiff	crash	2801269c7e47bd6e243612654a74cee809d20959	110	3
RefDiff	eclipse-themes	72f61ec9b85a740fd09d10ad711e275d2ec2e564	172	8
RefDiff	jodd	722ef9156896248ef3fbe83adde0f6ff8f46856a	265	8
RefDiff	guacamole-client	ebb483320d971ff4d9e947309668f5da1fcd3d23	172	4
RefDiff	byte-buddy	372f4ae6cebcd664e3b43cade356d1df233f6467	3156	39
RefDiff	commafeed	18a7bd1fd1a83b3b8d1b245e32f78c0b4443b7a7	78	2
RefDiff	fabric8	8127b21a220ca677c4e59961d019e7753da7ea6e	250	2
RefDiff	quasar	c22d40fab8dfe4c5cad9ba582caf0855ff64b324	250	10
RefDiff	moco	55ffa2f3353c5dc77fe6b790e5e045b76a07a772	109	4
RefDiff	gradle	04bcfe98dbe7b05e508559930c21379ece845732	1016	58
RefDiff	MPS	2bcd05a827ead109a56cb1f79a83dcd332f42888	1984	44
RefDiff	Android-IMSI-Catcher-Detector	e235f884f2e0bc258da77b9c80492ad33386fa86	172	2
RefDiff	intellij-community	138911ce88b05039242b8d1b2bb5b7a59008f5ee	860	4
RefDiff	intellij-community	04397f41107bd6de41b31d45a4e8e2ed65628bbe	94	2
RefDiff	intellij-community	cc0eaf7faa408a04b68e2b5820f3ebcc75420b5b	391	8
RefDiff	sonarqube	c55a8c3761e9aae9f375d312c14b1bbb9ee9c0fa	203	4
RefDiff	guacamole-client	ce1f3d07976de31aed8f8189ec5e1a6453f4b580	125	4
RefDiff	BroadleafCommerce	4ef35268bb96bb78b2dc698fa68e7ce763cde32e	219	4
RefDiff	java-driver	1edac0e92080e7c5e971b2d56c8753bf44ea8a6c	297	10
RefDiff	quasar	56d4b999e8be70be237049708f019c278c356e71	687	12
RefDiff	hibernate-orm	2b89553db5081fe4e55b7b34d636d0ea2acf71c5	156	4
RefDiff	cassandra	446e2537895c15b404a74107069a12f3fc404b15	703	25
RefDiff	liferay-portal	59fd9e696cec5f2ed44c27422bbc426b11647321	203	6
RefDiff	Singularity	45ada13b852af85e1ae0491267a0239d9bdf6f3f	188	6
RefDiff	android_frameworks_base	96a2c3410f3c71d3ab20857036422f1d64c3a6d3	406	2
RefDiff	intellij-community	219d6ddfd1db62c11efb57e0216436874e087834	500	31
RefDiff	intellij-community	484038e916dc40bf87eca10c77889d79eca96c4d	219	6
RefDiff	sonarqube	091ec857d24bfe139d2a5ce143ffc9b32b21cd7c	678	30
RefDiff	sonarqube	7668c875dfa7240b1ec08eb60b42107bae1b4cd3	188	4
RefDiff	elasticsearch	c928852d4ab7d8c744063979208709ed4429b8e9	391	25
RefDiff	elasticsearch	f77804dad35c13d9ff96456e85737883cf7ddd99	2266	54
RefDiff	elasticsearch	ff9041dc486adf0a8dec41f80bbfbdd49f97016a	1297	60
RefDiff	atomix	19a49f8f36b2f6d82534dc13504d672e41a3a8d1	188	4
RefDiff	byte-buddy	f1dfb66a368760e77094ac1e3860b332cf0e4eb5	109	2
RefDiff	jackson-databind	44dea1f292933192ea5287d9b3e14a7daaef3c0f	312	7
RefDiff	alluxio	6d10621465c0e6ae81ad8d240d70a55c72caeea6	188	10
RefDiff	alluxio	0ba343846f21649e29ffc600f30a7f3e463fb24c	78	5
RefDiff	orientdb	b40adc25008b6f608ee3eb3422c8884fff987337	781	18
RefDiff	voltdb	e9efc045fbc6fa893c66a03b72b7eedb388cf96c	219	6
RefDiff	voltdb	669e0722324965e3c99f29685517ac24d4ff2848	906	20
RefDiff	java-driver	d5134b15fe6545ec8ab5c2256006cd6fe19eac92	375	18
RefDiff	java-driver	3a0603f8f778be3219a5a0f3a7845cda65f1e172	94	2
RefDiff	intellij-community	3972b9b3d4e03bdb5e62dfa663e3e0a1871e3c9f	265	8
RefDiff	intellij-community	d71154ed21e2d5c65bb0ddb000bcb04ca5735048	235	4
RefDiff	intellij-community	a97341973c3b683d62d1422e5404ed5c7ccf45f8	140	5
RefDiff	sonarqube	06fa57185cba7304c69a7d6c792a15f2632e3e02	312	14
RefDiff	undertow	d5b2bb8cd1393f1c5a5bb623e3d8906cd57e53c4	547	22
RefDiff	spring-data-rest	b7cba6a700d8c5e456cdeffe9c5bf54563eab7d3	515	25
RefDiff	checkstyle	5a9b7249e3d092a78ac8e7d48aeeb62bf1c44e20	93	2
RefDiff	vert.x	718782014519034b28f6d3182fd9d340b7b31a74	766	22
RefDiff	drools	1bf2875e9d73e2d1cd3b58200d5300485f890ff5	4047	113
RefDiff	spring-boot	1cfc6f64f64353bc5530a8ce8cdacfc3eba3e7b2	141	4
RefDiff	spring-boot	20d39f7af2165c67d5221f556f58820c992d2cc6	94	2
RefDiff	android_frameworks_base	658a918eebcbdeb4f920c2947ca8d0e79ad86d89	640	2
RefDiff	orientdb	1089957b645bde069d3864563bbf1f7c7da8045c	219	3
RefDiff	intellij-community	5f18bed8da4dda4fa516907ecbbe28f712e944f7	641	22
RefDiff	JGroups	f1533756133dec84ce8218202585ac85904da7c9	109	4
RefDiff	sshj	7c26ac669a4e17ca1d2319a5049a56424fd33104	78	3
RefDiff	nutz	6599c748ef35d38085703cf3bd41b9b5b6af5f32	125	4
RefDiff	buck	1c7c03dd9e6d5810ad22d37ecae59722c219ac35	797	46
RefDiff	processing	d7f781da42e54824c17875a6036d3448672637f5	641	4
RefDiff	rest.li	bd0d3bf75d31a8b5db34b8b66dfb28e5e1f492de	219	6
RefDiff	fabric8	9e61a71540da58c3208fd2c7737f793c3f81e5ae	109	4
RefDiff	gnucash-android	bba4af3f52064b5a2de2c9a57f9d34ba67dcdd8c	406	12
RefDiff	vert.x	32a8c9086040fd6d6fa11a214570ee4f75a4301f	219	6
RefDiff	eureka	1cacbe2ad700275bc575234ff2b32ee0d6493817	218	6
RefDiff	eureka	f6212a7e474f812f31ddbce6d4f7a7a0d498b751	204	2
RefDiff	closure-compiler	ba5e6d44526a2491a7004423ca2ad780c6992c46	1000	6
RefDiff	crate	72b5348307d86b1a118e546c24d97f1ac1895bdb	1235	64
RefDiff	WordPress-Android	2252ed3754bff8c39db48d172ac76ac5a4e15359	156	2
RefDiff	infinispan	e3b0d87b3ca0fd27cec39937cb3dc3a05b0cfc4e	516	10
RefDiff	geoserver	182f4d1174036417aad9d6db908ceaf64234fd5f	844	40
RefDiff	spring-boot	cb98ee25ff52bf97faebe3f45cdef0ced9b4416e	156	4
RefDiff	spring-boot	b47634176fa48ad925f79886c6aaca225cb9af64	141	6
RefDiff	voltdb	c9b2006381301c99b66c50c4b31f329caac06137	125	4
RefDiff	graphhopper	7f80425b6a0af9bdfef12c8a873676e39e0a04a6	2140	102
RefDiff	sonarqube	5ff305abb3068e420d8e54a796591d75acc8b8be	172	11
RefDiff	YCSB	0b024834549c53512ef18bce89f60ef9225d4819	156	4
RefDiff	mbassador	40e41d11d7847d660bba6691859b0506514bd0ac	469	32
RefDiff	buck	f26d234e8d3458f34454583c22e3bd5f4b2a5da8	125	2
RefDiff	buck	0f8a0af934f09deef1b58e961ffe789c7299bcc1	875	38
RefDiff	Aeron	35893c115ba23bd62a7036a33390420f074ce660	110	2
RefDiff	goclipse	851ab757698304e9d8d4ae24ab75be619ddae31a	266	18
RefDiff	jackson-databind	da29a040ebae664274b28117b157044af0f525fa	328	10
RefDiff	restlet-framework-java	e4de9513d0a06d381b4521211cf688b77379c39d	297	12
RefDiff	BuildCraft	6abc40ed4850d74ee6c155f5a28f8b34881a0284	188	12
RefDiff	glide	0d4b27952751de0caab01774048c3e0ec74824ce	125	4
RefDiff	eureka	457a7f637ddb226acf477cae0b04c8ff16ec9a50	480	22
RefDiff	cassandra	ec52e77ecde749e7c5a483b26cbd8041f2a5a33c	438	6
RefDiff	closure-compiler	ea96643364e91125f560e9508a5cbcdb776bde64	1640	29
RefDiff	robovm	bf5ee44b3b576e01ab09cae9f50300417b01dc07	8067	92
RefDiff	netty	303cb535239a6f07cbe24a033ef965e2f55758eb	192	2
RefDiff	crate	c7b6a7aa878aabd6400d2df0490e1eb2b810c8f9	875	32
RefDiff	killbill	66901e86e8bea2b999ed9f33e013fa5ed21507c7	141	6
RefDiff	jetty.project	1f3be625e62f44d929c01f6574678eea05754474	265	13
RefDiff	graylog2-server	2ef067fc70055fc4d55c75937303414ddcf07e0e	266	21
RefDiff	android_frameworks_base	15fd4f9caea01e53725086e290d3b35ec4bd4cd9	110	4
RefDiff	rstudio	9a581e07cb6381d70f3fd9bb2055e810e2a682a9	219	8
RefDiff	open-keychain	c11fef6e7c80681ce69e5fdc7f4796b0b7a18e2b	203	8
RefDiff	open-keychain	49d544d558e9c7f1106b5923204b1fbec2696cf7	641	28
RefDiff	hazelcast	e66e49cd4a9dd8027204f712f780170a5c129f5b	312	14
RefDiff	sonarqube	021bf45623b748e70f20d956e86d595191241786	547	24
RefDiff	jfinal	881baed894540031bd55e402933bcad28b74ca88	2672	154
RefDiff	sms-backup-plus	c265bde2ace252bc1e1c65c6af93520e5994edd2	94	6
RefDiff	async-http-client	f01d8610b9ceebc1de59d42f569b8af3efbe0a0f	93	4
RefDiff	okhttp	c753d2e41ba667f9b5a31451a16ecbaecdc65d80	994	84
RefDiff	spring-integration	247232bdde24b81814a82100743f77d881aaf06b	114	4
RefDiff	grails-core	480537e0f8aaf50a7648bf445b33230aa32a9b44	162	8
RefDiff	pig	7a1659c12d76b510809dea1dea1f5100bcf4cd60	125	2
RefDiff	WordPress-Android	ab298886b59f4ad0235cd6d5764854189eb59eb6	156	6
RefDiff	WordPress-Android	f8d5cf01f123a1d0a65857aa2db0571fe9cd1911	78	2
RefDiff	infinispan	ce4f6292d6350a2c6b82d995352fdf6d07042c9c	1625	120
RefDiff	sonarqube	0eaa5217883cfeca688aad1d462192c194741827	172	6
RefDiff	neo4j	b83e6a535cbca21d5ea764b0c49bfca8a9ff9db4	328	35
RefDiff	blueflood	c76e6e1f27a6697b3b88ad4ed710441b801afb3b	110	8
RefDiff	antlr4	a9ca2efae56815dc464189b055ffe9da23766f7f	156	11
RefDiff	k-9	23c49d834d3859fc76a604da32d1789d2e863303	500	6
RefDiff	processing	8707194f003444a9fb8e00bffa2893ef0c2492c6	94	2
RefDiff	baasbox	d949fe9079a82ee31aa91244aa67baaf56b7e28f	141	7
RefDiff	fabric8	07807aed847e1d0589c094461544e54a2677cbf5	219	6
RefDiff	eureka	5103ace802b2819438318dd53b5b07512aae0d25	313	45
RefDiff	closure-compiler	5a853a60f93e09c446d458673bc7a2f6bb26742c	109	6
RefDiff	alluxio	ed966510ccf8441115614e2258aea61df0ea55f5	110	6
RefDiff	camel	5e08a9e8e93a2f117b5fbec9c6d54500d8e99a4d	109	6
RefDiff	spring-framework	ece12f9d370108549fffac105e4bcb7faeaaf124	407	8
RefDiff	eucalyptus	5a38d0bca0e48853c3f7c00a0f098bada64797df	594	37
RefDiff	jetty.project	13b63c194b010201c439932ece2f1bc628ebf287	203	6
RefDiff	WordPress-Android	4bfe164cc8b4556b98df18098b162e0a84038b32	250	10
RefDiff	infinispan	03573a655bcbb77f7a76d8e22d851cc22796b4f8	203	4
RefDiff	rstudio	4983f83d1bedb7b737fc56d409c1c06b04e34e4e	109	4
RefDiff	voltdb	a896b8bf8f7067e41291eb7771deed76b3621fa0	157	10
RefDiff	tomcat	40f00732b9652350ac11830367fd32db67987fc7	140	6
RefDiff	liferay-plugins	7c7ecf4cffda166938efd0ae34830e2979c25c73	63	4
RefDiff	android_frameworks_base	5d1a70a4d32ac4c96a32535c68c69b20288d8968	1725	4
RefDiff	open-keychain	de50b3becb31c367f867382ff9cd898ba1628350	157	16
RefDiff	querydsl	09b9d989658ef5bf9333c081c92b57a7611ad207	125	27
RefDiff	Osmand	c45b9e6615181b7d8f4d7b5b1cc141169081c02c	78	2
RefDiff	java-algorithms-implementation	f2385a56e6aa040ea4ff18a23ce5b63a4eeacf29	94	2
RefDiff	java-algorithms-implementation	4ffcb5a65e6d24c58ef75a5cd7692e875619548d	234	4
RefDiff	Lealone	7a2e0ae5f6172cbe34f9bc4a5cde666314ff75dd	63	4
RefDiff	TinkersConstruct	71820e573134be3fad3935035249cd77c4412f4e	109	9
RefDiff	assertj-core	b36ab386559d04db114db8edd87c8d4cbf850c12	203	5
RefDiff	k-9	9d44f0e06232661259681d64002dd53c7c43099d	516	4
RefDiff	buck	7e104c3ed4b80ec8e9b72356396f879d1067cc40	125	4
RefDiff	mockito	2d036ecf1d7170b4ec7346579a1ef8904109530a	78	4
RefDiff	HikariCP	1571049ec04b1e7e6f082ed5ec071584e7200c12	148	10
RefDiff	HikariCP	cd8c4d578a609bdd6395d3a8c49bfd19ed700dea	63	4
RefDiff	processing	acf67c8cb58d13827e14bbeeec11a66f9277015f	1303	2
RefDiff	ratpack	da6167af3bdbf7663af6c20fb603aba27dd5e174	71	2
RefDiff	drools	c8e09e2056c54ead97bce4386a25b222154223b1	500	29
RefDiff	gradle	f841d8dda2bf461f595755f85c3eba786783702d	94	6
RefDiff	MPS	797fb7fc1415ac0ebe9a8262677dfa4462ed6cb4	172	15
RefDiff	languagetool	bec15926deb49d2b3f7b979d4cfc819947a434ec	265	31
RefDiff	spring-framework	dd4bc630c3de70204081ab196945d6b55ab03beb	78	4
RefDiff	OpenTripPlanner	e32f161fc023d1ee153c49df312ae10b06941465	187	24
RefDiff	hive	e2dd54ab180b577b08cf6b0e69310ac81fc99fd3	203	8
RefDiff	redisson	186357ac6c2da1a5a12c0287a08408ac5ec6683b	203	8
RefDiff	core	8ea46f48063c38473c12ca7c114106ca910b6e74	94	4
RefDiff	drill	ffae1691c0cd526ed1095fbabbc0855d016790d7	187	14
RefDiff	seyren	5fb36a321af7df470d4c845cb18da8f85be31c38	125	12
RefDiff	languagetool	01cddc5afb590b4d36cb784637a8ea8aa31d3561	125	2
RefDiff	spring-framework	31a5434ea433bdec2283797bf9415c02bb2f41c1	391	23
RefDiff	morphia	70a25d4afdc435e9cad4460b2a20b7aabdd21e35	172	6
RefDiff	WordPress-Android	3b95d10985776fb7b710089ff71074fd2bf860ee	93	2
RefDiff	graylog2-server	72acc2126611f0bff9b672de18b9b2f8dacdc03a	234	29
RefDiff	spring-boot	becced5f0b7bac8200df7a5706b568687b517b90	94	6
RefDiff	android_frameworks_base	f166866cd68efa963534c5bc7fc9ca38e4aa2838	219	4
RefDiff	intellij-community	6540dde58190f642e59ca10516f84eb85f855373	360	10
RefDiff	presto	b7f4914d81a7a618acf2eba52af1093fc23cfba9	375	16
RefDiff	neo4j	77fab3caea4495798a248035f0e928f745c7c2db	422	32
RefDiff	neo4j	001de307492df8f84ad15f6aaa0bd1e748d4ce27	3000	194
RefDiff	neo4j	74d2cc420e5590ba3bc0ffcc15b30b76a9cbef0b	250	14
RefDiff	go-lang-idea-plugin	0b93231025f51c7ec62fd8588985c5dc807854e4	79	4
RefDiff	mongo-java-driver	8c5a20d786e66ee4c4b0d743f0f80bf681c419be	203	13
RefDiff	cassandra	9a3fa887cfa03c082f249d1d4003d87c14ba5d24	875	35
RefDiff	crate	5373a852a7e45715e0a6771b7cd56592994c07dd	1188	106
RefDiff	spring-framework	e083683f4fe9206609201bb39a60bbd8ee0c8a0f	266	27
RefDiff	morphia	5db323b99f7064af8780f2c35f245461cf55cc8e	218	12
RefDiff	openhab1-addons	a9b1e5d67421ed98b49ae25c3bbd6e27a0ab1590	281	12
RefDiff	hazelcast	4d05a3b1168441216dcaea8282c39338285182af	529	34
RefDiff	wildfly	37d842bfed9779e662321a5ee43c36b058386843	93	4
RefDiff	zuul	b25d3f32ed2e2da86f5c746098686445c2e2a314	141	10
RefDiff	MapDB	32dd05fc13b53873bf18c589622b55d12e3883c7	641	22
RefDiff	go-lang-idea-plugin	3d5e343df6a39ce3b41624b90974d83e9899541e	140	16
RefDiff	go-lang-idea-plugin	b8929ccb4057c74ac64679216487a4abcd3ae1c3	78	8
RefDiff	drill	8815eb7d947be6d2a0281c15a3a60d8ba040db95	1312	76
RefDiff	drill	711992f22ae6d6dfc43bdb4c01bf8f921d175b38	78	4
RefDiff	spring-integration	ec5230abc7500734d7b78a176c291378e100a927	649	47
RefDiff	springfox	e70b04810eb1e73f60e3d8b3980b8271ce473565	110	14
RefDiff	infinispan	4184c577f4bbc57f3ac13639557cfd99cdaca3e7	93	6
